Nome,Cognome,Nickname,Paese,Guadagni,Gioco,Genere
Sang Hyeok,Lee,Faker,Corea del Sud,1257615.87,League of Legends,Multiplayer Online Battle Arena
Ho Seong,Lee,Duke,Corea del Sud,954620.62,League of Legends,Multiplayer Online Battle Arena
Jun Sik,Bae,Bang,Corea del Sud,915451.46,League of Legends,Multiplayer Online Battle Arena
Jae Wan,Lee,Wolf,Corea del Sud,913084.7,League of Legends,Multiplayer Online Battle Arena
Seong Ung,Bae,Bengi,Corea del Sud,810683,League of Legends,Multiplayer Online Battle Arena
Eui Jin,Song,Rookie,Corea del Sud,610445.7,League of Legends,Multiplayer Online Battle Arena
Sun Gu,Kang,Blank,Corea del Sud,559518.75,League of Legends,Multiplayer Online Battle Arena
Jo,Yong-in,CoreJJ,Corea del Sud,556087.84,League of Legends,Multiplayer Online Battle Arena
Chan Yong,Kang,Ambition,Corea del Sud,553234.2,League of Legends,Multiplayer Online Battle Arena
Dong Geun,Kang,TheShy,Corea del Sud,538444.86,League of Legends,Multiplayer Online Battle Arena
Se Hyeong,Cho,Mata,Corea del Sud,533979.52,League of Legends,Multiplayer Online Battle Arena
Jae Hyuk,Park,Ruler,Corea del Sud,526957.64,League of Legends,Multiplayer Online Battle Arena
Jung,Eon-yeong,Impact,Corea del Sud,515306.14,League of Legends,Multiplayer Online Battle Arena
Seong Jin,Lee,CuVee,Corea del Sud,488379.08,League of Legends,Multiplayer Online Battle Arena
Min Ho,Lee,Crown,Corea del Sud,483747.81,League of Legends,Multiplayer Online Battle Arena
Wang Ho,Han,Peanut,Corea del Sud,479060.15,League of Legends,Multiplayer Online Battle Arena
